#,Source,Destination,Slot,Dimension,Distance,Boundary,Margin
431,SAV3-19-0259H,SAV3-18-0138H,5A,1D,48789,No,3000
432,SAV3-01-0366G,SAV3-03-0444G,4B,1D,50535,No,2500
433,SAV3-13-0226H,SAV3-13-0114H,4B,1D,30760,No,3000
434,SAV3-05-0067H,SAV3-05-0195H,4B,1D,36488,No,2500
435,SAV3-17-0418H,SAV3-19-0261H,4B,1D,51908,No,3000
436,SAV3-19-0254H,SAV3-17-0411H,4A,1D,51808,No,3000
437,SAV3-02-0157H,SAV3-01-0274H,4A,1D,43676,No,2500
438,SAV3-05-0199H,SAV3-06-0316H,4A,1D,44395,No,2500
439,SAV3-02-0162H,SAV3-02-0034H,3B,1D,37628,No,2500
440,SAV3-17-0410H,SAV3-19-0253H,3B,1D,51856,No,3000
441,SAV3-08-0203H,SAV3-09-0320H,3B,1D,44654,No,2500
442,SAV3-05-0193H,SAV3-06-0310H,3A,1D,43374,No,3000
443,SAV3-19-0256H,SAV3-17-0413H,3A,1D,51984,No,3000
444,SAV3-11-0109H,SAV3-12-0249H,3A,1D,48357,No,3000
445,SAV3-11-0111H,SAV3-12-0251H,2B,1D,48315,No,3000
446,SAV3-01-0368H,SAV3-03-0446H,2B,1D,50599,No,2500
447,SAV3-19-0258H,SAV3-17-0415H,2B,1D,52004,No,3000
448,SAV3-05-0196H,SAV3-05-0068H,2B,1D,36439,No,2500
449,SAV3-09-0319H,SAV3-08-0202H,2A,1D,44562,No,2500
450,SAV3-21-0364H,SAV3-21-0247H,2A,1D,31119,No,3000
451,SAV3-02-0033H,SAV3-02-0161H,2A,1D,37095,No,2500
452,SAV3-15-0357H,SAV3-16-0240H,2A,1D,28749,No,3000
453,SAV3-06-0317H,SAV3-08-0200H,1B,1D,44111,No,2500
454,SAV3-02-0159H,SAV3-01-0276H,1B,1D,43620,No,2500
455,SAV3-16-0241H,SAV3-15-0358H,1B,1D,28764,No,3000
456,SAV3-06-0315H,SAV3-05-0198H,1A,1D,44356,No,2500
457,SAV3-01-0273H,SAV3-02-0156H,1A,1D,43595,No,2500
458,SAV3-19-0253H,SAV3-16-0132H,1A,1D,48643,No,3000
459,SAV3-22-0443,SAV3-22-0433,1,2D,9114,No,0
460,SAV3-01-0277H,SAV3-02-0160H,0B,1D,43257,No,2500
461,SAV3-08-0201H,SAV3-06-0318H,0B,1D,44600,No,2500
462,SAV3-15-0359H,SAV3-16-0242H,0B,1D,28711,No,3000
463,SAV3-16-0243H,SAV3-15-0360H,0A,1D,28844,No,3000
464,SAV3-02-0027G,SAV3-01-0155G,0A,1D,37745,No,3000
465,SAV3-05-0197H,SAV3-06-0314H,0A,1D,44350,No,2500
466,SAV3-20-0095G,SAV3-20-0020G,0,2D,17303,No,0
